,0
Nucor,0.5754189944134078
Thermo Fisher Scientific,0.5642458100558659
GE HealthCare,0.5642458100558659
Ameriprise Financial,0.55
L3Harris,0.547486033519553
ConocoPhillips,0.5444444444444444
Host Hotels & Resorts,0.5418994413407822
Darden Restaurants,0.5363128491620112
Citigroup,0.5333333333333333
Baker Hughes,0.5
Chubb Limited,0.4666666666666667
Eastman Chemical Company,0.46368715083798884
Amcor,0.46111111111111114
Biogen,0.45555555555555555
Fair Isaac,0.44692737430167595
Lam Research,0.44692737430167595
Fastenal,0.441340782122905
Cardinal Health,0.4222222222222222
Howmet Aerospace,0.39664804469273746
Dish Network,0.37988826815642457
Tyler Technologies,0.3743016759776536
First Solar,0.36312849162011174
Travelers Companies,0.36312849162011174
Union Pacific Corporation,0.3575418994413408
Lamb Weston,0.35195530726256985
Crown Castle,0.3463687150837989
Southern Company,0.3463687150837989
Huntington Bancshares,0.3407821229050279
Ralph Lauren Corporation,0.3407821229050279
Healthpeak,0.3407821229050279
Boston Properties,0.3333333333333333
Trimble Inc.,0.3128491620111732
HP Inc.,0.30726256983240224
A. O. Smith,0.3055555555555556
Allstate,0.3055555555555556
Booking Holdings,0.3
Martin Marietta Materials,0.2905027932960894
Illinois Tool Works,0.2905027932960894
IDEX Corporation,0.2905027932960894
Huntington Ingalls Industries,0.2849162011173184
Colgate-Palmolive,0.2833333333333333
Idexx Laboratories,0.25139664804469275
DaVita Inc.,0.24022346368715083
Conagra Brands,0.23333333333333334
American Water Works,0.21666666666666667
Trane Technologies,0.2122905027932961
Incyte,0.20670391061452514
D.R. Horton,0.19553072625698323
Danaher Corporation,0.19553072625698323
American International Group,0.18888888888888888
NRG Energy,0.18435754189944134
Gen Digital,0.16759776536312848
Texas Instruments,0.16201117318435754
TJX Companies,0.13966480446927373
SBA Communications,0.1340782122905028
Cincinnati Financial,0.12777777777777777
Avery Dennison,0.12777777777777777
Royal Caribbean Group,0.11731843575418995
Insulet,0.11731843575418995
Activision Blizzard,0.1111111111111111
Catalent,0.1111111111111111
Intercontinental Exchange,0.10614525139664804
DTE Energy,0.10614525139664804
American Airlines Group,0.1
NXP Semiconductors,0.09497206703910614
TransDigm Group,0.09497206703910614
American Electric Power,0.09444444444444444
Citizens Financial Group,0.08333333333333333
Equity Residential,0.061452513966480445
Vertex Pharmaceuticals,0.05027932960893855
McCormick & Company,0.0446927374301676
Camden Property Trust,0.044444444444444446
Campbell Soup Company,0.044444444444444446
Freeport-McMoRan,0.03910614525139665
Essex Property Trust,0.03910614525139665
Verisk,0.0335195530726257
Verisign,0.0335195530726257
AvalonBay Communities,0.03333333333333333
Estée Lauder Companies,0.027932960893854747
Waters Corporation,0.027932960893854747
Cboe Global Markets,0.027777777777777776
Textron,0.01675977653631285
West Pharmaceutical Services,0.01675977653631285
WEC Energy Group,0.01675977653631285
Aon,0.016666666666666666
Ecolab,0.0111731843575419
Welltower,0.0111731843575419
Axon Enterprise,0.011111111111111112
Carrier Global,0.011111111111111112
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
Everest Re,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
Federal Realty,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.00558659217877095
isPartial,0.005555555555555556
isPartial,0.005555555555555556
Ansys,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
Ball Corporation,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
isPartial,0.005555555555555556
NetApp,0.0
Newell Brands,0.0
Newmont,0.0
Electronic Arts,0.0
NiSource,0.0
News Corp,0.0
NextEra Energy,0.0
Altria,0.0
Alliant Energy,0.0
MSCI,0.0
Coterra,0.0
APA Corporation,0.0
Warner Bros. Discovery,0.0
Corteva,0.0
Teleflex,0.0
Teradyne,0.0
Discover Financial,0.0
Live Nation Entertainment,0.0
LKQ Corporation,0.0
Loews Corporation,0.0
Stanley Black & Decker,0.0
Dover Corporation,0.0
Dow Inc.,0.0
Bio-Techne,0.0
Bio-Rad,0.0
CoStar Group,0.0
Microchip Technology,0.0
Micron Technology,0.0
Mid-America Apartment Communities,0.0
Edison International,0.0
Edwards Lifesciences,0.0
Wabtec,0.0
Walgreens Boots Alliance,0.0
Applied Materials,0.0
PG&E Corporation,0.0
